show_id,title,movie_duration(min),tv_show_duration(temp)
s727,Metallica: Some Kind of Monster,,1.0
s728,Picture a Scientist,97.0,
s729,The Devil Below,89.0,
s730,Bling Empire - The Afterparty,36.0,
s731,Cobra Kai - The Afterparty,34.0,
s732,Love (ft. Marriage and Divorce),,2.0
s733,To All the Boys: Always and Forever - The Afterparty,36.0,
s734,LEGO Friends: The Power of Friendship,,2.0
s735,Lupin,,2.0
s736,Sarbath,113.0,
s737,Skater Girl,110.0,
s738,Trese,,1.0
s739,Trese After Dark,36.0,
s740,Wish Dragon,102.0,
s741,A Haunted House 2,86.0,
s742,Blind Intersections,91.0,
s743,Camellia Sisters,117.0,
s744,Copenhagen,99.0,
s745,Locombianos,,1.0
s746,Until Midnight,77.0,
s747,Awake,97.0,
s748,Confusion Na Wa,106.0,
s749,"Fresh, Fried & Crispy",,1.0
s750,L.A.’s Finest,,2.0
s751,Tragic Jungle,97.0,
s752,Guru Aur Bhole,,2.0
s753,Vampire Academy,104.0,
s754,"Newly Rich, Newly Poor",,1.0
s755,A Private War,110.0,
s756,Kitty Love: An Homage to Cats,61.0,
s757,Small Chops,98.0,
s758,Breaking Boundaries: The Science Of Our Planet,74.0,
s759,Feel Good,,2.0
s760,Fireplace 4K: Classic Crackling Fireplace from Fireplace for Your Home,60.0,
